Optagelsesområder;Antal Optagne;;Antal ansøgere;; Adgangskvotient ;
;optagne;standby;total;1. prioritet; kvotient i kvote 1  ;standby
Københavns Universitet;;;;;;
Produktionsteknolog, Herning, Studiestart: sommerstart; 24 ;; 38 ; 25 ; Alle optaget, ledige pladser ;
Serviceøkonom, Holstebro, Studiestart: sommerstart; 38 ;; 73 ; 38 ; Alle optaget, ledige pladser ;
Erhvervsakademi MidtVest i alt; 350 ; 10 ; 835 ; 397 ;;
Erhvervsakademi Aarhus;;;;;;
Professionsbachelor i finans, Viby J, Studiestart: sommerstart; 147 ; 10 ; 428 ; 189 ; 7,2 ;5,4
Bachelor of financial management and services, Viby J, Study start: Summer start; 35 ; 4 ; 216 ; 70 ; 7,4 ;Alle optaget
Professionsbachelor i økonomi og It, Viby J, Studiestart: sommerstart; 34 ; 4 ; 98 ; 37 ; 5,5 ;Alle optaget, ledige pladser
Automationsteknolog, Aarhus C, Studiestart: sommerstart; 16 ;; 34 ; 19 ; Alle optaget, ledige pladser ;
Autoteknolog, Aarhus C, Studiestart: sommerstart; 12 ;; 30 ; 12 ; Alle optaget, ledige pladser ;
AP Graduate in Automotive Technology, Aarhus C, Study start: Summer start; 29 ;; 75 ; 38 ; Alle optaget, ledige pladser ;
Datamatiker, Viby J, Studiestart: sommerstart; 102 ; 1 ; 153 ; 94 ; 3,0 ;Alle optaget, ledige pladser
Byggekoordinator, Viby J, Studiestart: sommerstart; 23 ;; 42 ; 19 ; Alle optaget, ledige pladser ;
Finansøkonom, Viby J, Studiestart: sommerstart; 188 ; 10 ; 553 ; 220 ; 5,8 ;5,2
Financial controller, Viby J, Studiestart: sommerstart; 78 ;; 184 ; 69 ; Alle optaget ; Alle optaget, ledige pladser 
It- teknolog, Viby J, Studiestart: sommerstart; 28 ; 5 ; 68 ; 37 ; 5,7 ;Alle optaget, ledige pladser
AP Graduate IT Technology, Viby J, Study start: Summer start; 27 ;; 161 ; 64 ; 7,4 ;Alle optaget, ledige pladser
Jordbrugsteknolog, Risskov, Studiestart: sommerstart; 132 ; 3 ; 196 ; 149 ; 5,5 ;Alle optaget
AP Graduate in Agro Business and Landscape management, Risskov, Study start: Summer start; 27 ;; 70 ; 37 ; 8,8 ;Alle optaget
Miljøteknolog, Viby J, Studiestart: sommerstart; 17 ;; 56 ; 22 ; Alle optaget, ledige pladser ;
Laborant, Viby J, Studiestart: sommerstart; 27 ; 10 ; 152 ; 57 ; 8,5 ;4,9
AP Graduate in Chemical and Biotechnical Science, Viby J, Study start: Summer start; 29 ; 2 ; 129 ; 73 ; 8,9 ;Alle optaget, ledige pladser
Markedsføringsøkonom, Viby J, Studiestart: sommerstart; 303 ; 21 ; 677 ; 338 ; 6,1 ;3,9
AP Graduate in Marketing Management, Viby J, Study start: Summer start; 102 ;; 381 ; 139 ; Alle optaget, ledige pladser ;
Multimediedesigner, Viby J, Studiestart: sommerstart; 108 ; 10 ; 278 ; 114 ; 6,8 ;5,1
AP Graduate in Multimedia Design and Communication, Viby J, Study start: Summer start; 65 ; 2 ; 291 ; 110 ; 7,0 ;Alle optaget, ledige pladser
Produktionsteknolog, Aarhus C, Studiestart: sommerstart; 25 ;; 48 ; 22 ; Alle optaget, ledige pladser ;
Serviceøkonom, Viby J, Studiestart: sommerstart; 80 ; 13 ; 268 ; 118 ; 7,0 ;4,7
Erhvervsakademi Aarhus i alt; 1.634 ; 95 ; 4.588 ; 2.047 ;;
Erhvervsakademi Dania;;;;;;
Professionsbachelor i optometri, Randers SØ, Studiestart: sommerstart; 98 ;; 151 ; 93 ; Alle optaget, ledige pladser ;
Administrationsøkonom, Horsens, Studiestart: sommerstart; 36 ;; 80 ; 29 ; Alle optaget ;
Administrationsøkonom, Viborg, Studiestart: sommerstart; 39 ;; 79 ; 38 ; Alle optaget ;
Automationsteknolog, Hadsten, Studiestart: sommerstart; 22 ;; 29 ; 21 ; Alle optaget, ledige pladser ;
Autoteknolog, Viborg, Studiestart: sommerstart; 7 ;; 15 ; 6 ; Alle optaget, ledige pladser ;
AP Graduate in Automotive Technology, Viborg, Study start: Summer start; 14 ;; 53 ; 17 ; Alle optaget, ledige pladser ;
Datamatiker, Skive, Studiestart: sommerstart; 30 ; 1 ; 59 ; 33 ; 4,4 ;Alle optaget, ledige pladser
Datamatiker, Grenaa, Studiestart: sommerstart; 47 ;; 78 ; 49 ; Alle optaget, ledige pladser ;
Energiteknolog, Hadsten, Studiestart: sommerstart;;; 10 ; 3 ; Kontakt uddannelsesstedet ;
Finansøkonom, Hobro, Studiestart: sommerstart; 104 ;; 171 ; 92 ; Alle optaget ;
Finansøkonom, Silkeborg, Studiestart: sommerstart; 54 ;; 148 ; 40 ; Alle optaget, ledige pladser ;
Finansøkonom, Silkeborg, E-læring, Studiestart: sommerstart; 21 ;; 75 ; 24 ; Alle optaget, ledige pladser ;
Finansøkonom, Silkeborg, Studiestart: vinterstart; 10 ;; 39 ; 9 ; Alle optaget, ledige pladser ;
Handelsøkonom, Randers SØ, Studiestart: sommerstart; 50 ;; 121 ; 46 ; Alle optaget, ledige pladser ;
Handelsøkonom, Randers SØ, Studiestart: vinterstart; 10 ;; 25 ; 7 ; Alle optaget, ledige pladser ;
Handelsøkonom, Silkeborg, Studiestart: sommerstart; 90 ;; 150 ; 74 ; Alle optaget, ledige pladser ;
Handelsøkonom, Hobro, Studiestart: sommerstart; 27 ;; 63 ; 25 ; Alle optaget, ledige pladser ;
Handelsøkonom, Horsens, Studiestart: sommerstart; 37 ;; 107 ; 38 ; Alle optaget, ledige pladser ;
Handelsøkonom, Horsens, Studiestart: vinterstart;;; 29 ; 5 ; Kontakt uddannelsesstedet ;
Installatør, stærkstrøm, Hadsten, Studiestart: sommerstart; 25 ;; 32 ; 29 ; Alle optaget, ledige pladser ;
Installatør, stærkstrøm, Hadsten, Studiestart: vinterstart; 4 ;; 6 ; 2 ; Alle optaget, ledige pladser ;
Installatør, VVS, Hadsten, Studiestart: sommerstart; 6 ;; 8 ; 8 ; Alle optaget, ledige pladser ;
AP Graduate IT Technology, Viborg, Study start: Summer start; 29 ;; 105 ; 39 ; Alle optaget ;
It- teknolog, Viborg, Studiestart: sommerstart;;; 21 ; 4 ; Kontakt uddannelsesstedet ;
Markedsføringsøkonom, Viborg, Studiestart: sommerstart; 27 ;; 62 ; 27 ; Alle optaget, ledige pladser ;
AP Graduate in Marketing Management, Viborg, Study start: Summer start; 20 ;; 122 ; 37 ; Alle optaget, ledige pladser ;
Markedsføringsøkonom, Randers SØ, Studiestart: sommerstart; 33 ;; 97 ; 25 ; Alle optaget, ledige pladser ;
Markedsføringsøkonom, Randers SØ, Studiestart: vinterstart; 6 ;; 17 ; 7 ; Alle optaget, ledige pladser ;
AP Graduate in Marketing Management, Randers SØ, Study start: Summer start; 27 ;; 115 ; 37 ; Alle optaget, ledige pladser ;
Multimediedesigner, Grenaa, Studiestart: sommerstart; 39 ;; 86 ; 45 ; 3,3 ;Alle optaget, ledige pladser
Multimediedesigner, Skive, Studiestart: sommerstart; 27 ;; 50 ; 29 ; 3,3 ;Alle optaget, ledige pladser
Produktionsteknolog, Skive, Studiestart: sommerstart; 17 ;; 25 ; 17 ; Alle optaget, ledige pladser ;
Produktionsteknolog, Randers SØ, Studiestart: sommerstart; 16 ;; 25 ; 16 ; Alle optaget, ledige pladser ;
Produktionsteknolog, Randers SØ, Studiestart: vinterstart; 2 ;; 7 ; 2 ; Alle optaget, ledige pladser ;
Serviceøkonom, Randers SØ, Studiestart: sommerstart; 62 ;; 137 ; 46 ; Alle optaget, ledige pladser ;
AP Graduate in Service, Hospitality and Tourism Management, Randers SØ, Study start: Summer start; 51 ;; 185 ; 59 ; Alle optaget, ledige pladser ;
Serviceøkonom, Skive, Studiestart: sommerstart; 23 ;; 43 ; 25 ; Alle optaget, ledige pladser ;
Logistikøkonom , Hobro, Studiestart: sommerstart; 18 ;; 43 ; 16 ; Alle optaget, ledige pladser ;
Erhvervsakademi Dania i alt; 1.128 ; 1 ; 2.668 ; 1.119 ;;
;;;;;;
i alt; 66.439 ; 4.839 ; 255.927 ; 94.776 ;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
