aau_name;url;UDD5;displaydocclass;instpostdistrikt;studietidtx;afbrud;afbrud_n;undervisningsform_p1;undervisningsform_p2;undervisningsform_p3;undervisningsform_p4;undervisningsform_p5;fagligmiljo_likert;fagligtmotivation_likert;kvalitet_likert;medstuderende_likert;socialtmiljo_likert;socialtmotivation_likert;udbytte_undervisning_likert;undervisere_engagerede_likert;undervisere_faglighed_likert;undervisere_feedback_likert;undervisere_formidling_likert;undervisere_kontakt_likert
Kemi og bioteknologi, diplomingeniør;www.ug.dk/uddannelser/professionsbacheloruddannelser/tekniskeogteknologiskeudd/diplomingenioer-kemi;53390,52790,52750,52700;Professionsbacheloruddannelse;Esbjerg;2 år og 4 måneder;25;80;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101
Kemi og bioteknologi, diplomingeniør, Esbjerg;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/kemi-og-bioteknologi;79020,79300,70610;Bacheloruddannelse;Esbjerg;2 år og 9 måneder;48;326;Projektarbejde;Forelæsninger;Gruppearbejde;Øvelsestimer;Selvstudie;3,77;3,54;4,3;3,85;4;4,23;4,08;4,31;4,38;3,77;3,77;4,08
Kemiteknologi;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/kemi-og-teknologi;81400,7922;Bacheloruddannelse;Aalborg;-101;0;44;Projektarbejde;Gruppearbejde;Forelæsninger;Øvelsestimer;Selvstudie;4,07;3,74;4;3,42;3,93;4,04;3,92;4,15;4,44;3,85;3,81;4,15
Kommunikation og digitale medier, Aalborg;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/oevrigehumaniora/kommunikation-og-digitale-medier;65360,3335;Bacheloruddannelse;Aalborg;2 år og 9 måneder;13;924;Projektarbejde;Forelæsninger;Selvstudie;Gruppearbejde;Faglig vejledning fra din underviser;4,02;3,95;4,08;3,44;4,09;4;3,6;4,09;4,18;3,31;3,49;4
Kommunikation og digitale medier, København SV;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/oevrigehumaniora/kommunikation-og-digitale-medier;65360,3335;Bacheloruddannelse;København SV;2 år og 9 måneder;13;924;Projektarbejde;Gruppearbejde;Selvstudie;Forelæsninger;Klasseundervisning;4;3,9;4,17;3,74;3,72;4,03;3,82;4,28;4,1;3,76;3,77;4,16
Landinspektørvidenskab, København SV;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/oevrigetekniskvidenskab/landinspektoervidenskab;82710;Bacheloruddannelse;Aalborg;2 år og 9 måneder;20;138;Projektarbejde;Forelæsninger;Selvstudie;Gruppearbejde;Klasseundervisning;4,55;4,45;4;3,71;3,97;3,94;3,55;4,39;4,39;3,74;3,87;4,2
Landinspektørvidenskab, Aalborg;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/oevrigetekniskvidenskab/landinspektoervidenskab;82710;Bacheloruddannelse;København SV;2 år og 9 måneder;20;138;Projektarbejde;Klasseundervisning;Selvstudie;Forelæsninger;Gruppearbejde;3,78;4;4;3,59;3,72;3,78;3,65;4,17;4,5;3,61;3,33;4,17
Language and International Studies;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/oevrigehumaniora/engelsk-sprog-og-internationale-studier-sis;65120,60180,66180;Bacheloruddannelse;Aalborg;2 år og 11 måneder;19;503;Selvstudie;Forelæsninger;Projektarbejde;Klasseundervisning;Gruppearbejde;3,94;3,61;3,81;3,45;3,83;4,04;3,95;4,38;4,33;3,62;3,78;4
Manufacturing and Operations Engineering;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/produktionsudvikling;79050;Bacheloruddannelse;København SV;-101;9;23;Gruppearbejde;Projektarbejde;Forelæsninger;Klasseundervisning;Selvstudie;4,03;3,74;4;3,53;3,66;3,88;3,91;3,69;3,94;3,26;3,13;3,59
Maskin og Produktion;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/maskin-og-produktion;79310,30270,32170;Bacheloruddannelse;Aalborg;2 år og 4 måneder;20;206;Projektarbejde;Forelæsninger;Gruppearbejde;Selvstudie;Øvelsestimer;4,14;3,89;4,42;4,04;4,11;4,43;4,07;4,39;4,54;3,81;3,93;4
